episod,total_reward
1,20.5778496297
2,20.5788457857
3,20.5836714478
4,20.8467341254
5,21.0286827031
6,21.0019741563
7,22.3478238034
8,14.3651134331
9,13.7186723886
10,15.6739569456
11,11.8190286276
12,12.4668506986
13,13.0584430626
14,13.3767375774
15,13.3592796661
16,13.3671642153
17,13.4287448324
18,13.3380731276
19,13.4342169967
20,13.4020036278
21,13.4112379896
22,13.3437498141
23,13.4207178027
24,13.3928287587
25,13.3713106571
26,13.3999283108
27,13.3579783358
28,13.3559570417
29,13.410800511
30,13.3828832839
31,13.2785113226
32,12.4176791767
33,20.9723803676
34,16.7436264113
35,12.4173506536
36,12.4055825975
37,21.1465556951
38,19.6863712127
39,18.1361864279
40,12.9439532821
41,21.3267089319
42,20.717184306
43,16.6096834213
44,17.2892727297
45,14.7635920647
46,19.7887882401
47,19.6171825106
48,14.5952905649
49,12.7037091938
50,12.6202302377
51,13.8010738467
52,12.1299108829
53,14.3384416624
54,11.1285591507
55,11.2988090329
56,20.5489419487
57,11.5444711274
58,11.659266671
59,24.2611490939
60,12.2444378561
61,13.126967358
62,19.5169355246
63,12.2126410614
64,19.1049040548
65,14.2045130651
66,12.6905069471
67,11.5914473904
68,15.0731777101
69,18.0658132661
70,28.374132627
71,15.5914868713
72,12.8714502015
73,14.6209164568
74,12.3306928799
75,11.0536311654
76,11.8004298197
77,13.2398605498
78,21.138226005
79,13.8356140439
80,13.6982503231
81,13.0562443997
82,39.0363586978
83,31.4670638346
84,13.2139983096
85,15.9571352273
86,23.1676069821
87,26.4769475468
88,14.46200782
89,21.2713944733
90,31.5005120979
91,18.8136250661
92,20.4423566037
93,12.1995258363
94,21.5831279072
95,22.1403282677
96,14.4352899515
97,15.7081796411
98,21.971275346
99,13.3864495448
100,16.0011044825
101,19.7144190184
102,27.4183921928
103,11.5861377726
104,20.3197853195
105,17.3081481343
106,17.5477227507
107,12.5074076412
108,15.8879027409
109,18.8818344941
110,17.7049403377
111,21.237770929
112,19.3549470404
113,16.7133615997
114,16.661288486
115,14.0154028311
116,19.697794687
117,19.9837194262
118,20.3916774347
119,19.8657279879
120,21.5241210433
121,20.0690389559
122,20.5046476285
123,20.266230687
124,19.8149663273
125,20.200405836
126,19.6685873558
127,20.3757924518
128,19.6988704922
129,20.3667643581
130,20.077214916
131,20.254637194
132,19.9087494073
133,19.9448075602
134,19.6930514393
135,19.9071225247
136,19.4503812644
137,18.8150077804
138,20.3849582786
139,19.8449540209
140,20.1266188143
141,19.9654037203
142,14.3859351564
143,13.1339665969
144,17.1199235547
145,12.2742670836
146,16.5964934216
147,19.8586368368
148,21.9858191976
149,19.0859202558
150,17.7299034711
151,19.3549428115
152,20.0001738015
153,19.4116159545
154,19.44708478
155,19.6542504916
156,19.8132618597
157,19.6457427005
158,20.2509164895
159,19.6648198695
160,19.548949952
161,19.2661364314
162,19.4617200167
163,19.7190410333
164,19.0785806506
165,17.9765574783
166,21.7667056473
167,20.1813736986
168,19.3552368725
169,19.6067425326
170,19.5493294255
171,20.0314114057
172,18.5654987934
173,18.6129220275
174,19.9257128105
175,20.7313457252
176,19.9576861217
177,19.9223679932
178,19.9895665619
179,19.6994007142
180,20.091287011
181,20.063860976
182,20.9000304485
183,18.4161056718
184,19.7917912925
185,19.6182949057
186,20.8464991078
187,20.4018368433
188,21.4618454215
189,21.2017292651
190,20.0849014177
191,19.9415557482
192,19.1965021282
193,19.4964487825
194,20.6540147712
195,18.0874800747
196,19.4115603024
197,18.7742916352
198,18.8645659498
199,20.2611625731
200,19.0282810736
201,19.5606081138
202,19.8131147914
203,19.4925871542
204,17.9915850271
205,19.9746399819
206,20.308510345
207,19.2144713904
208,21.8401137571
209,22.802063285
210,19.7526398284
211,19.633169642
212,19.8283339472
213,18.8172700188
214,19.2441202942
215,24.237570996
216,21.6567352171
217,22.4882651034
218,19.3592433838
219,15.6299607715
220,22.7359824823
221,16.4743689199
222,19.8071601625
223,19.7392183042
224,17.5802561783
225,15.0595825143
226,20.0077393414
227,19.8902635812
228,19.7930241431
229,20.1338255598
230,18.9562983806
231,12.759929978
232,12.6092500719
233,19.3142821655
234,12.5095340491
235,19.2295959161
236,13.1986951951
237,20.6225206561
238,19.3340873181
239,21.1012632472
